"Title","Average Sterling exchange rate: Euro XUMAERS"
"CDID","THAP"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","13-03-2026"
"Next release","16 April 2026"
"Important notes",
"1975",""
"1976",""
"1977",""
"1978",""
"1979",""
"1980",""
"1981",""
"1982",""
"1983",""
"1984",""
"1985",""
"1986",""
"1987",""
"1988",""
"1989",""
"1990",""
"1991",""
"1992",""
"1993",""
"1994",""
"1995",""
"1996",""
"1997","1.4493"
"1998","1.4887"
"1999","1.5192"
"2000","1.6422"
"2001","1.6087"
"2002","1.5909"
"2003","1.4456"
"2004","1.4739"
"2005","1.4629"
"2006","1.4670"
"2007","1.4619"
"2008","1.2588"
"2009","1.1233"
"2010","1.1664"
"2011","1.1527"
"2012","1.2337"
"2013","1.1776"
"2014","1.2411"
"2015","1.3782"
"2016","1.2233"
"2017","1.1413"
"2018","1.1305"
"2019","1.1405"
"2020","1.1250"
"2021","1.1633"
"2022","1.1732"
"2023","1.1500"
"2024","1.1815"
"2025","1.1673"
"1975 Q1",""
"1975 Q2",""
"1975 Q3",""
"1975 Q4",""
"1976 Q1",""
"1976 Q2",""
"1976 Q3",""
"1976 Q4",""
"1977 Q1",""
"1977 Q2",""
"1977 Q3",""
"1977 Q4",""
"1978 Q1",""
"1978 Q2",""
"1978 Q3",""
"1978 Q4",""
"1979 Q1",""
"1979 Q2",""
"1979 Q3",""
"1979 Q4",""
"1980 Q1",""
"1980 Q2",""
"1980 Q3",""
"1980 Q4",""
"1981 Q1",""
"1981 Q2",""
"1981 Q3",""
"1981 Q4",""
"1982 Q1",""
"1982 Q2",""
"1982 Q3",""
"1982 Q4",""
"1983 Q1",""
"1983 Q2",""
"1983 Q3",""
"1983 Q4",""
"1984 Q1",""
"1984 Q2",""
"1984 Q3",""
"1984 Q4",""
"1985 Q1",""
"1985 Q2",""
"1985 Q3",""
"1985 Q4",""
"1986 Q1",""
"1986 Q2",""
"1986 Q3",""
"1986 Q4",""
"1987 Q1",""
"1987 Q2",""
"1987 Q3",""
"1987 Q4",""
"1988 Q1",""
"1988 Q2",""
"1988 Q3",""
"1988 Q4",""
"1989 Q1",""
"1989 Q2",""
"1989 Q3",""
"1989 Q4",""
"1990 Q1",""
"1990 Q2",""
"1990 Q3",""
"1990 Q4",""
"1991 Q1",""
"1991 Q2",""
"1991 Q3",""
"1991 Q4",""
"1992 Q1",""
"1992 Q2",""
"1992 Q3",""
"1992 Q4",""
"1993 Q1",""
"1993 Q2",""
"1993 Q3",""
"1993 Q4",""
"1994 Q1",""
"1994 Q2",""
"1994 Q3",""
"1994 Q4",""
"1995 Q1",""
"1995 Q2",""
"1995 Q3",""
"1995 Q4",""
"1996 Q1",""
"1996 Q2",""
"1996 Q3",""
"1996 Q4",""
"1997 Q1","1.3793"
"1997 Q2","1.4320"
"1997 Q3","1.4962"
"1997 Q4","1.4855"
"1998 Q1","1.5294"
"1998 Q2","1.5149"
"1998 Q3","1.4875"
"1998 Q4","1.4247"
"1999 Q1","1.4574"
"1999 Q2","1.5209"
"1999 Q3","1.5271"
"1999 Q4","1.5712"
"2000 Q1","1.6286"
"2000 Q2","1.6398"
"2000 Q3","1.6336"
"2000 Q4","1.6670"
"2001 Q1","1.5814"
"2001 Q2","1.6280"
"2001 Q3","1.6152"
"2001 Q4","1.6111"
"2002 Q1","1.6263"
"2002 Q2","1.5923"
"2002 Q3","1.5747"
"2002 Q4","1.5716"
"2003 Q1","1.4937"
"2003 Q2","1.4256"
"2003 Q3","1.4300"
"2003 Q4","1.4334"
"2004 Q1","1.4708"
"2004 Q2","1.4992"
"2004 Q3","1.4877"
"2004 Q4","1.4388"
"2005 Q1","1.4424"
"2005 Q2","1.4744"
"2005 Q3","1.4635"
"2005 Q4","1.4706"
"2006 Q1","1.4570"
"2006 Q2","1.4540"
"2006 Q3","1.4713"
"2006 Q4","1.4854"
"2007 Q1","1.4916"
"2007 Q2","1.4732"
"2007 Q3","1.4705"
"2007 Q4","1.4129"
"2008 Q1","1.3212"
"2008 Q2","1.2615"
"2008 Q3","1.2586"
"2008 Q4","1.1957"
"2009 Q1","1.1010"
"2009 Q2","1.1389"
"2009 Q3","1.1475"
"2009 Q4","1.1058"
"2010 Q1","1.1269"
"2010 Q2","1.1747"
"2010 Q3","1.1995"
"2010 Q4","1.1639"
"2011 Q1","1.1710"
"2011 Q2","1.1329"
"2011 Q3","1.1402"
"2011 Q4","1.1660"
"2012 Q1","1.1985"
"2012 Q2","1.2344"
"2012 Q3","1.2633"
"2012 Q4","1.2384"
"2013 Q1","1.1751"
"2013 Q2","1.1756"
"2013 Q3","1.1708"
"2013 Q4","1.1890"
"2014 Q1","1.2079"
"2014 Q2","1.2278"
"2014 Q3","1.2599"
"2014 Q4","1.2671"
"2015 Q1","1.3463"
"2015 Q2","1.3863"
"2015 Q3","1.3937"
"2015 Q4","1.3862"
"2016 Q1","1.2981"
"2016 Q2","1.2702"
"2016 Q3","1.1763"
"2016 Q4","1.1515"
"2017 Q1","1.1627"
"2017 Q2","1.1621"
"2017 Q3","1.1144"
"2017 Q4","1.1269"
"2018 Q1","1.1324"
"2018 Q2","1.1417"
"2018 Q3","1.1207"
"2018 Q4","1.1275"
"2019 Q1","1.1472"
"2019 Q2","1.1436"
"2019 Q3","1.1089"
"2019 Q4","1.1624"
"2020 Q1","1.1610"
"2020 Q2","1.1267"
"2020 Q3","1.1049"
"2020 Q4","1.1077"
"2021 Q1","1.1450"
"2021 Q2","1.1598"
"2021 Q3","1.1691"
"2021 Q4","1.1789"
"2022 Q1","1.1954"
"2022 Q2","1.1785"
"2022 Q3","1.1688"
"2022 Q4","1.1504"
"2023 Q1","1.1325"
"2023 Q2","1.1507"
"2023 Q3","1.1633"
"2023 Q4","1.1537"
"2024 Q1","1.1682"
"2024 Q2","1.1721"
"2024 Q3","1.1835"
"2024 Q4","1.2014"
"2025 Q1","1.1965"
"2025 Q2","1.1776"
"2025 Q3","1.1538"
"2025 Q4","1.1426"
"1975 JAN",""
"1975 FEB",""
"1975 MAR",""
"1975 APR",""
"1975 MAY",""
"1975 JUN",""
"1975 JUL",""
"1975 AUG",""
"1975 SEP",""
"1975 OCT",""
"1975 NOV",""
"1975 DEC",""
"1976 JAN",""
"1976 FEB",""
"1976 MAR",""
"1976 APR",""
"1976 MAY",""
"1976 JUN",""
"1976 JUL",""
"1976 AUG",""
"1976 SEP",""
"1976 OCT",""
"1976 NOV",""
"1976 DEC",""
"1977 JAN",""
"1977 FEB",""
"1977 MAR",""
"1977 APR",""
"1977 MAY",""
"1977 JUN",""
"1977 JUL",""
"1977 AUG",""
"1977 SEP",""
"1977 OCT",""
"1977 NOV",""
"1977 DEC",""
"1978 JAN",""
"1978 FEB",""
"1978 MAR",""
"1978 APR",""
"1978 MAY",""
"1978 JUN",""
"1978 JUL",""
"1978 AUG",""
"1978 SEP",""
"1978 OCT",""
"1978 NOV",""
"1978 DEC",""
"1979 JAN",""
"1979 FEB",""
"1979 MAR",""
"1979 APR",""
"1979 MAY",""
"1979 JUN",""
"1979 JUL",""
"1979 AUG",""
"1979 SEP",""
"1979 OCT",""
"1979 NOV",""
"1979 DEC",""
"1980 JAN",""
"1980 FEB",""
"1980 MAR",""
"1980 APR",""
"1980 MAY",""
"1980 JUN",""
"1980 JUL",""
"1980 AUG",""
"1980 SEP",""
"1980 OCT",""
"1980 NOV",""
"1980 DEC",""
"1981 JAN",""
"1981 FEB",""
"1981 MAR",""
"1981 APR",""
"1981 MAY",""
"1981 JUN",""
"1981 JUL",""
"1981 AUG",""
"1981 SEP",""
"1981 OCT",""
"1981 NOV",""
"1981 DEC",""
"1982 JAN",""
"1982 FEB",""
"1982 MAR",""
"1982 APR",""
"1982 MAY",""
"1982 JUN",""
"1982 JUL",""
"1982 AUG",""
"1982 SEP",""
"1982 OCT",""
"1982 NOV",""
"1982 DEC",""
"1983 JAN",""
"1983 FEB",""
"1983 MAR",""
"1983 APR",""
"1983 MAY",""
"1983 JUN",""
"1983 JUL",""
"1983 AUG",""
"1983 SEP",""
"1983 OCT",""
"1983 NOV",""
"1983 DEC",""
"1984 JAN",""
"1984 FEB",""
"1984 MAR",""
"1984 APR",""
"1984 MAY",""
"1984 JUN",""
"1984 JUL",""
"1984 AUG",""
"1984 SEP",""
"1984 OCT",""
"1984 NOV",""
"1984 DEC",""
"1985 JAN",""
"1985 FEB",""
"1985 MAR",""
"1985 APR",""
"1985 MAY",""
"1985 JUN",""
"1985 JUL",""
"1985 AUG",""
"1985 SEP",""
"1985 OCT",""
"1985 NOV",""
"1985 DEC",""
"1986 JAN",""
"1986 FEB",""
"1986 MAR",""
"1986 APR",""
"1986 MAY",""
"1986 JUN",""
"1986 JUL",""
"1986 AUG",""
"1986 SEP",""
"1986 OCT",""
"1986 NOV",""
"1986 DEC",""
"1987 JAN",""
"1987 FEB",""
"1987 MAR",""
"1987 APR",""
"1987 MAY",""
"1987 JUN",""
"1987 JUL",""
"1987 AUG",""
"1987 SEP",""
"1987 OCT",""
"1987 NOV",""
"1987 DEC",""
"1988 JAN",""
"1988 FEB",""
"1988 MAR",""
"1988 APR",""
"1988 MAY",""
"1988 JUN",""
"1988 JUL",""
"1988 AUG",""
"1988 SEP",""
"1988 OCT",""
"1988 NOV",""
"1988 DEC",""
"1989 JAN",""
"1989 FEB",""
"1989 MAR",""
"1989 APR",""
"1989 MAY",""
"1989 JUN",""
"1989 JUL",""
"1989 AUG",""
"1989 SEP",""
"1989 OCT",""
"1989 NOV",""
"1989 DEC",""
"1990 JAN",""
"1990 FEB",""
"1990 MAR",""
"1990 APR",""
"1990 MAY",""
"1990 JUN",""
"1990 JUL",""
"1990 AUG",""
"1990 SEP",""
"1990 OCT",""
"1990 NOV",""
"1990 DEC",""
"1991 JAN",""
"1991 FEB",""
"1991 MAR",""
"1991 APR",""
"1991 MAY",""
"1991 JUN",""
"1991 JUL",""
"1991 AUG",""
"1991 SEP",""
"1991 OCT",""
"1991 NOV",""
"1991 DEC",""
"1992 JAN",""
"1992 FEB",""
"1992 MAR",""
"1992 APR",""
"1992 MAY",""
"1992 JUN",""
"1992 JUL",""
"1992 AUG",""
"1992 SEP",""
"1992 OCT",""
"1992 NOV",""
"1992 DEC",""
"1993 JAN",""
"1993 FEB",""
"1993 MAR",""
"1993 APR",""
"1993 MAY",""
"1993 JUN",""
"1993 JUL",""
"1993 AUG",""
"1993 SEP",""
"1993 OCT",""
"1993 NOV",""
"1993 DEC",""
"1994 JAN",""
"1994 FEB",""
"1994 MAR",""
"1994 APR",""
"1994 MAY",""
"1994 JUN",""
"1994 JUL",""
"1994 AUG",""
"1994 SEP",""
"1994 OCT",""
"1994 NOV",""
"1994 DEC",""
"1995 JAN",""
"1995 FEB",""
"1995 MAR",""
"1995 APR",""
"1995 MAY",""
"1995 JUN",""
"1995 JUL",""
"1995 AUG",""
"1995 SEP",""
"1995 OCT",""
"1995 NOV",""
"1995 DEC",""
"1996 JAN",""
"1996 FEB",""
"1996 MAR",""
"1996 APR",""
"1996 MAY",""
"1996 JUN",""
"1996 JUL",""
"1996 AUG",""
"1996 SEP",""
"1996 OCT",""
"1996 NOV",""
"1996 DEC",""
"1997 JAN","1.3559"
"1997 FEB","1.3906"
"1997 MAR","1.3944"
"1997 APR","1.4243"
"1997 MAY","1.4217"
"1997 JUN","1.4499"
"1997 JUL","1.5247"
"1997 AUG","1.5043"
"1997 SEP","1.4591"
"1997 OCT","1.4623"
"1997 NOV","1.4914"
"1997 DEC","1.5053"
"1998 JAN","1.5166"
"1998 FEB","1.5196"
"1998 MAR","1.5507"
"1998 APR","1.5490"
"1998 MAY","1.4834"
"1998 JUN","1.5110"
"1998 JUL","1.5091"
"1998 AUG","1.4912"
"1998 SEP","1.4617"
"1998 OCT","1.4200"
"1998 NOV","1.4290"
"1998 DEC","1.4254"
"1999 JAN","1.4236"
"1999 FEB","1.4534"
"1999 MAR","1.4902"
"1999 APR","1.5051"
"1999 MAY","1.5185"
"1999 JUN","1.5374"
"1999 JUL","1.5204"
"1999 AUG","1.5146"
"1999 SEP","1.5458"
"1999 OCT","1.5491"
"1999 NOV","1.5706"
"1999 DEC","1.5953"
"2000 JAN","1.6201"
"2000 FEB","1.6266"
"2000 MAR","1.6377"
"2000 APR","1.6730"
"2000 MAY","1.6655"
"2000 JUN","1.5882"
"2000 JUL","1.6052"
"2000 AUG","1.6478"
"2000 SEP","1.6471"
"2000 OCT","1.6994"
"2000 NOV","1.6664"
"2000 DEC","1.6302"
"2001 JAN","1.5753"
"2001 FEB","1.5786"
"2001 MAR","1.5901"
"2001 APR","1.6084"
"2001 MAY","1.6304"
"2001 JUN","1.6434"
"2001 JUL","1.6433"
"2001 AUG","1.5955"
"2001 SEP","1.6060"
"2001 OCT","1.6024"
"2001 NOV","1.6166"
"2001 DEC","1.6151"
"2002 JAN","1.6222"
"2002 FEB","1.6348"
"2002 MAR","1.6224"
"2002 APR","1.6282"
"2002 MAY","1.5914"
"2002 JUN","1.5515"
"2002 JUL","1.5665"
"2002 AUG","1.5723"
"2002 SEP","1.5861"
"2002 OCT","1.5868"
"2002 NOV","1.5694"
"2002 DEC","1.5566"
"2003 JAN","1.5222"
"2003 FEB","1.4924"
"2003 MAR","1.4649"
"2003 APR","1.4505"
"2003 MAY","1.4030"
"2003 JUN","1.4234"
"2003 JUL","1.4277"
"2003 AUG","1.4286"
"2003 SEP","1.4338"
"2003 OCT","1.4334"
"2003 NOV","1.4426"
"2003 DEC","1.4246"
"2004 JAN","1.4447"
"2004 FEB","1.4774"
"2004 MAR","1.4890"
"2004 APR","1.5022"
"2004 MAY","1.4894"
"2004 JUN","1.5050"
"2004 JUL","1.5023"
"2004 AUG","1.4933"
"2004 SEP","1.4676"
"2004 OCT","1.4455"
"2004 NOV","1.4311"
"2004 DEC","1.4401"
"2005 JAN","1.4331"
"2005 FEB","1.4499"
"2005 MAR","1.4440"
"2005 APR","1.4652"
"2005 MAY","1.4611"
"2005 JUN","1.4952"
"2005 JUL","1.4547"
"2005 AUG","1.4592"
"2005 SEP","1.4761"
"2005 OCT","1.4674"
"2005 NOV","1.4719"
"2005 DEC","1.4725"
"2006 JAN","1.4582"
"2006 FEB","1.4637"
"2006 MAR","1.4500"
"2006 APR","1.4402"
"2006 MAY","1.4637"
"2006 JUN","1.4560"
"2006 JUL","1.4540"
"2006 AUG","1.4785"
"2006 SEP","1.4811"
"2006 OCT","1.4869"
"2006 NOV","1.4834"
"2006 DEC","1.4860"
"2007 JAN","1.5079"
"2007 FEB","1.4969"
"2007 MAR","1.4703"
"2007 APR","1.4713"
"2007 MAY","1.4677"
"2007 JUN","1.4805"
"2007 JUL","1.4821"
"2007 AUG","1.4762"
"2007 SEP","1.4515"
"2007 OCT","1.4370"
"2007 NOV","1.4106"
"2007 DEC","1.3863"
"2008 JAN","1.3383"
"2008 FEB","1.3316"
"2008 MAR","1.2897"
"2008 APR","1.2580"
"2008 MAY","1.2633"
"2008 JUN","1.2636"
"2008 JUL","1.2615"
"2008 AUG","1.2614"
"2008 SEP","1.2531"
"2008 OCT","1.2718"
"2008 NOV","1.2041"
"2008 DEC","1.1043"
"2009 JAN","1.0919"
"2009 FEB","1.1264"
"2009 MAR","1.0867"
"2009 APR","1.1157"
"2009 MAY","1.1295"
"2009 JUN","1.1682"
"2009 JUL","1.1622"
"2009 AUG","1.1597"
"2009 SEP","1.1212"
"2009 OCT","1.0928"
"2009 NOV","1.1126"
"2009 DEC","1.1127"
"2010 JAN","1.1327"
"2010 FEB","1.1415"
"2010 MAR","1.1092"
"2010 APR","1.1436"
"2010 MAY","1.1685"
"2010 JUN","1.2082"
"2010 JUL","1.1959"
"2010 AUG","1.2132"
"2010 SEP","1.1901"
"2010 OCT","1.1412"
"2010 NOV","1.1701"
"2010 DEC","1.1802"
"2011 JAN","1.1817"
"2011 FEB","1.1815"
"2011 MAR","1.1527"
"2011 APR","1.1331"
"2011 MAY","1.1403"
"2011 JUN","1.1261"
"2011 JUL","1.1308"
"2011 AUG","1.1422"
"2011 SEP","1.1470"
"2011 OCT","1.1487"
"2011 NOV","1.1659"
"2011 DEC","1.1843"
"2012 JAN","1.2034"
"2012 FEB","1.1941"
"2012 MAR","1.1981"
"2012 APR","1.2161"
"2012 MAY","1.2440"
"2012 JUN","1.2416"
"2012 JUL","1.2688"
"2012 AUG","1.2676"
"2012 SEP","1.2524"
"2012 OCT","1.2393"
"2012 NOV","1.2440"
"2012 DEC","1.2310"
"2013 JAN","1.2000"
"2013 FEB","1.1594"
"2013 MAR","1.1634"
"2013 APR","1.1750"
"2013 MAY","1.1777"
"2013 JUN","1.1740"
"2013 JUL","1.1600"
"2013 AUG","1.1649"
"2013 SEP","1.1883"
"2013 OCT","1.1797"
"2013 NOV","1.1938"
"2013 DEC","1.1947"
"2014 JAN","1.2097"
"2014 FEB","1.2122"
"2014 MAR","1.2021"
"2014 APR","1.2125"
"2014 MAY","1.2267"
"2014 JUN","1.2436"
"2014 JUL","1.2611"
"2014 AUG","1.2542"
"2014 SEP","1.2639"
"2014 OCT","1.2678"
"2014 NOV","1.2646"
"2014 DEC","1.2686"
"2015 JAN","1.3045"
"2015 FEB","1.3503"
"2015 MAR","1.3825"
"2015 APR","1.3856"
"2015 MAY","1.3852"
"2015 JUN","1.3879"
"2015 JUL","1.4139"
"2015 AUG","1.4004"
"2015 SEP","1.3665"
"2015 OCT","1.3657"
"2015 NOV","1.4168"
"2015 DEC","1.3769"
"2016 JAN","1.3257"
"2016 FEB","1.2890"
"2016 MAR","1.2809"
"2016 APR","1.2622"
"2016 MAY","1.2846"
"2016 JUN","1.2646"
"2016 JUL","1.1884"
"2016 AUG","1.1687"
"2016 SEP","1.1722"
"2016 OCT","1.1190"
"2016 NOV","1.1533"
"2016 DEC","1.1838"
"2017 JAN","1.1613"
"2017 FEB","1.1732"
"2017 MAR","1.1548"
"2017 APR","1.1798"
"2017 MAY","1.1696"
"2017 JUN","1.1403"
"2017 JUL","1.1281"
"2017 AUG","1.0974"
"2017 SEP","1.1186"
"2017 OCT","1.1227"
"2017 NOV","1.1259"
"2017 DEC","1.1330"
"2018 JAN","1.1331"
"2018 FEB","1.1311"
"2018 MAR","1.1328"
"2018 APR","1.1477"
"2018 MAY","1.1397"
"2018 JUN","1.1378"
"2018 JUL","1.1269"
"2018 AUG","1.1157"
"2018 SEP","1.1195"
"2018 OCT","1.1330"
"2018 NOV","1.1352"
"2018 DEC","1.1128"
"2019 JAN","1.1298"
"2019 FEB","1.1473"
"2019 MAR","1.1653"
"2019 APR","1.1603"
"2019 MAY","1.1479"
"2019 JUN","1.1225"
"2019 JUL","1.1118"
"2019 AUG","1.0925"
"2019 SEP","1.1223"
"2019 OCT","1.1440"
"2019 NOV","1.1660"
"2019 DEC","1.1791"
"2020 JAN","1.1779"
"2020 FEB","1.1882"
"2020 MAR","1.1193"
"2020 APR","1.1419"
"2020 MAY","1.1275"
"2020 JUN","1.1123"
"2020 JUL","1.1059"
"2020 AUG","1.1100"
"2020 SEP","1.0993"
"2020 OCT","1.1032"
"2020 NOV","1.1164"
"2020 DEC","1.1039"
"2021 JAN","1.1205"
"2021 FEB","1.1467"
"2021 MAR","1.1648"
"2021 APR","1.1555"
"2021 MAY","1.1596"
"2021 JUN","1.1639"
"2021 JUL","1.1677"
"2021 AUG","1.1730"
"2021 SEP","1.1667"
"2021 OCT","1.1806"
"2021 NOV","1.1789"
"2021 DEC","1.1772"
"2022 JAN","1.1977"
"2022 FEB","1.1933"
"2022 MAR","1.1953"
"2022 APR","1.1956"
"2022 MAY","1.1759"
"2022 JUN","1.1650"
"2022 JUL","1.1777"
"2022 AUG","1.1834"
"2022 SEP","1.1447"
"2022 OCT","1.1493"
"2022 NOV","1.1505"
"2022 DEC","1.1512"
"2023 JAN","1.1352"
"2023 FEB","1.1289"
"2023 MAR","1.1330"
"2023 APR","1.1347"
"2023 MAY","1.1495"
"2023 JUN","1.1650"
"2023 JUL","1.1651"
"2023 AUG","1.1643"
"2023 SEP","1.1605"
"2023 OCT","1.1523"
"2023 NOV","1.1492"
"2023 DEC","1.1604"
"2024 JAN","1.1653"
"2024 FEB","1.1702"
"2024 MAR","1.1693"
"2024 APR","1.1671"
"2024 MAY","1.1685"
"2024 JUN","1.1811"
"2024 JUL","1.1860"
"2024 AUG","1.1741"
"2024 SEP","1.1903"
"2024 OCT","1.1972"
"2024 NOV","1.1998"
"2024 DEC","1.2079"
"2025 JAN","1.1921"
"2025 FEB","1.2039"
"2025 MAR","1.1941"
"2025 APR","1.1709"
"2025 MAY","1.1852"
"2025 JUN","1.1768"
"2025 JUL","1.1559"
"2025 AUG","1.1550"
"2025 SEP","1.1506"
"2025 OCT","1.1473"
"2025 NOV","1.1368"
"2025 DEC","1.1429"
"2026 JAN","1.1523"
